OBJECTID,ID,DIR,LENGTH,LINKID,COUNTRY,JURISCODE,JURISNAME,ROADNUM,ROADNAME,ADMIN,SURFACE,LANES,SPEEDLIM,CLASS,NHS,BORDER,Shape__Length
123047,542735,0,0,02_6775749,2,02_41,Oregon, ,COLUMBIA BLVD,Municipal,Paved,4,40,3,8,0,5.53256236789747E-05
128383,543698,0,0.19,02_6813223,2,02_53,Washington,S500, ,State,Paved,4,88,2,7,0,0.00218852286684637
128334,543653,0,0.48,02_6811598,2,02_53,Washington, , ,Municipal,Paved,4,56,3,10,0,0.00440825447183166
128051,543144,0,0.02,02_6789788,2,02_41,Oregon, , ,Municipal,Paved,6,72,3,10,0,0.000165999891265756
127318,542088,0,0.02,02_6760433,2,02_41,Oregon,S43,WILLAMETTE DR,State,Paved,2,40,3,7,0,0.000219328945608285
123239,538104,0,0.67,02_6758750,2,02_41,Oregon,S99W,BARBUR BLVD,State,Paved,2,72,3,10,0,0.00768053471986253
127644,542228,0,0.15,02_6768242,2,02_41,Oregon,S99W,FRONT ST,State,Paved,2,72,4,0,0,0.00142424160186197
123233,538106,0,0.08,02_6765656,2,02_41,Oregon,U26, ,State,Paved,2,80,4,0,0,0.00100679003681249
127816,542493,0,0.17,02_6769818,2,02_41,Oregon,I5,PACIFIC HWY,State,Paved,4,104,1,1,0,0.0017050460222051
127810,542612,0,0.08,02_6772391,2,02_41,Oregon,S99E,UNION AV,State,Paved,4,48,3,10,0,0.000684018657592293
128569,543907,0,0.46,02_6819093,2,02_53,Washington, ,NE FOURTH PLAIN BLVD,Municipal,Paved,4,64,3,10,0,0.00545420244006994
128308,543510,0,0.65,02_6819549,2,02_53,Washington,I205, ,State,Paved,4,96,1,1,0,0.00794305433766159
127152,542936,0,0.12,02_6782555,2,02_41,Oregon,U30  P,SANDY BLVD,State,Paved,4,72,3,10,0,0.00143983820074708
127146,542940,0,0.32,02_6782475,2,02_41,Oregon,I205,E PORTLAND FRWY,State,Paved,7,88,1,1,0,0.00340787959363027
123067,542750,0,0.04,02_6776391,2,02_41,Oregon,S99E,UNION AV,State,Paved,4,88,3,8,0,0.000427018810170605
125652,540820,0,0.49,02_6686318,2,02_41,Oregon,S10,FARMINGTON RD,State,Paved,2,64,4,0,0,0.00600621804459318
125895,540970,0,0.42,02_6692056,2,02_41,Oregon, ,MURRAY BLVD,Municipal,Paved,4,72,3,10,0,0.00375344548735516
126654,542992,0,0.82,02_6784589,2,02_41,Oregon, ,SE 142ND AVE,Municipal,Paved,2,64,4,0,0,0.0103502123912216
126013,541056,0,0.05,02_6695348,2,02_41,Oregon,S99W,W PACIFIC HWY,State,Paved,2,88,3,7,0,0.000598077676893042
123382,538101,0,1.04,02_6707518,2,02_41,Oregon, ,KILLINGSWORTH ST,Municipal,Paved,2,72,4,0,0,0.0133823937030216
123210,542288,0,0.01,02_6765058,2,02_41,Oregon,U26E,FRONT ST,State,Paved,3,48,4,0,0,8.10428660028412E-05
123216,542290,0,0.07,02_6765147,2,02_41,Oregon,U26E,POWELL BLVD,State,Paved,2,64,4,0,0,0.000869466314761997
127716,542334,0,0.06,02_6766324,2,02_41,Oregon,S43N,MACADAM AV,State,Paved,2,64,3,10,0,0.000613159256165011
127175,542225,0,1.37,02_6777835,2,02_41,Oregon,U30  B,SANDY BLVD,State,Paved,3,72,3,10,0,0.016467041164583
127218,542833,0,0.08,02_6778952,2,02_41,Oregon,S213,82ND AV,State,Paved,4,56,3,10,0,0.00073835786791374
127667,542240,0,0.49,02_6766527,2,02_41,Oregon,I5,PACIFIC HWY,State,Paved,6,104,1,1,0,0.0053181286622025
127169,542965,0,0.43,02_6783110,2,02_41,Oregon, ,AIRPORT WY,Municipal,Paved,4,64,3,8,0,0.00522343841418732
127052,543277,0,0.58,02_6794122,2,02_53,Washington,S14,LEWIS AND CLARK HWY,State,Paved,4,96,2,7,0,0.00734042731594027
125944,541018,0,0.07,02_6694339,2,02_41,Oregon, ,SW NYBERG ST,Municipal,Paved,4,40,4,0,0,0.000918026753026955
126362,541396,0,0.08,02_6705105,2,02_41,Oregon,I405,STADIUM EXWY,State,Paved,4,104,1,1,0,0.000753646269545381
123190,542389,0,0.04,02_6767360,2,02_41,Oregon,U30  B,BURNSIDE ST,State,Paved,2,72,3,10,0,0.000509166708382669
127859,542547,0,0.02,02_6770578,2,02_41,Oregon,I84,COLUMBIA RIVER HWY,State,Paved,6,104,1,1,0,0.00018697095609652
127936,543179,0,0.22,02_6790976,2,02_41,Oregon, ,181ST AV,Municipal,Paved,6,72,3,7,0,0.00197229070412759
127269,543061,0,0.16,02_6787910,2,02_41,Oregon, , ,Municipal,Paved,2,72,3,10,0,0.00207071389384844
127026,543019,0,0.21,02_6786219,2,02_41,Oregon, ,DIVISION ST,Municipal,Paved,4,64,3,10,0,0.00273229559345935
128526,543604,0,0.19,02_6810183,2,02_53,Washington, ,NW BROADWAY,Municipal,Paved,2,40,3,10,0,0.00186338232346335
126605,543810,0,0.1,02_6816235,2,02_53,Washington,S500, ,State,Paved,4,88,2,7,0,0.00125000392765111
128600,543880,0,0.13,02_6818316,2,02_53,Washington,I205, ,State,Paved,6,96,1,1,0,0.00131923306100285
127195,542809,0,0.05,02_6778657,2,02_41,Oregon,U26,POWELL BLVD,State,Paved,5,56,3,10,0,0.000608560445125331
127344,542136,0,0.11,02_6761796,2,02_41,Oregon,S213,S CASCADE HWY,State,Paved,2,88,3,10,0,0.00103652867380867
127836,542521,0,0.24,02_6770324,2,02_41,Oregon,I5,PACIFIC HWY,State,Paved,6,104,1,1,0,0.00220445223567963
128008,543194,0,0.13,02_6791061,2,02_41,Oregon, , ,Municipal,Paved,6,72,3,10,0,0.00116997764836229
127885,542713,0,0.03,02_6774977,2,02_41,Oregon,U30  P,LOMBARD ST,State,Paved,4,56,4,0,0,0.000448071134523371
127295,543092,0,0.02,02_6788693,2,02_53,Washington,I205, ,State,Paved,8,96,1,1,0,0.000147648104710939
128500,543587,0,0.09,02_6809649,2,02_53,Washington, ,W 15TH ST,Municipal,Paved,3,40,3,0,0,0.00109601676305225
128377,543694,0,0.34,02_6813100,2,02_53,Washington, ,E FOURTH PLAIN BLVD,Municipal,Paved,4,48,3,10,0,0.0042364102261676
128549,543865,0,0.38,02_6818474,2,02_53,Washington,I205, ,State,Paved,4,96,1,1,0,0.00382138501717286
128426,543710,0,0.5,02_6813457,2,02_53,Washington, ,NE ST JAMES RD RD,Municipal,Paved,2,56,3,10,0,0.00453941332377356
127959,543263,0,0.08,02_6793332,2,02_41,Oregon, , ,Municipal,Paved,2,56,3,10,0,0.000682059297255576
126242,541123,0,0.1,02_6696653,2,02_41,Oregon, , ,Municipal,Paved,4,72,3,10,0,0.00119978180809983
127226,542215,0,1.52,02_6779416,2,02_41,Oregon,S213,82ND AV,State,Paved,4,56,3,10,0,0.0136441808599479
127487,542784,0,0.07,02_6777614,2,02_41,Oregon,I84,COLUMBIA RIVER HWY,State,Paved,6,104,1,1,0,0.000815692030813966
123147,542440,0,0.01,02_6768415,2,02_41,Oregon,I5,PACIFIC HWY,State,Paved,6,104,1,1,0,0.000118848556163514
123159,542446,0,0.16,02_6768510,2,02_41,Oregon,U30  B,BURNSIDE ST,State,Paved,3,72,3,10,0,0.00208449633793124
127736,542450,0,0.03,02_6769583,2,02_41,Oregon,I5,PACIFIC HWY,State,Paved,4,104,1,1,0,0.000308585436808864
127238,542850,0,0.03,02_6779613,2,02_41,Oregon, ,GLISAN ST,Municipal,Paved,4,40,3,10,0,0.000357005977886527
123408,540254,0,1.54,02_6683411,2,02_41,Oregon,I5,PACIFIC HWY,State,Paved,6,104,1,1,0,0.0143353365269101
126064,540941,0,0.06,02_6691153,2,02_41,Oregon,S8,TUALATIN VALLEY HWY,State,Paved,2,64,3,7,0,0.000785948150929981
126977,541915,0,1.1,02_6803084,2,02_53,Washington, ,NE 6TH AVE,Municipal,Paved,4,56,3,10,0,0.0138287378817929
125958,541317,0,0.35,02_6702443,2,02_41,Oregon,U30,ST HELENS RD,State,Paved,4,64,3,7,0,0.00386084938754035
127083,542171,0,0.51,02_6763207,2,02_41,Oregon,I205,E PORTLAND FRWY,State,Paved,6,88,1,1,0,0.00516053610993471
123253,542050,0,0.03,02_6759431,2,02_41,Oregon, , ,Municipal,Paved,4,88,2,10,0,0.000426518103567336
127132,542267,0,0.03,02_6764867,2,02_41,Oregon,S43N,MACADAM AV,State,Paved,2,64,3,10,0,0.000278006925464485
127095,542201,0,0.81,02_6763492,2,02_41,Oregon,S213,82ND AV,State,Paved,4,56,3,10,0,0.00732022600937753
127581,542910,0,0.48,02_6781398,2,02_41,Oregon,S213,82ND AV,State,Paved,4,72,3,10,0,0.00429777824095266
127630,542415,0,0.06,02_6767826,2,02_41,Oregon,U30  B,BURNSIDE ST,State,Paved,2,72,3,10,0,0.000816120047454025
126634,541996,0,0.37,02_6783209,2,02_53,Washington,S14,LEWIS AND CLARK HWY,State,Paved,4,96,2,7,0,0.00467501359473104
125423,541627,0,0.98,02_6722472,2,02_41,Oregon, ,MARINE DR,Municipal,Paved,2,56,4,8,0,0.0113793346931675
125460,540921,0,0.53,02_6689855,2,02_41,Oregon,U26,SUNSET HWY,State,Paved,4,88,2,7,0,0.00634412290995197
125472,540919,0,0.53,02_6690309,2,02_41,Oregon,U26,SUNSET HWY,State,Paved,4,88,2,7,0,0.0063814406052568
